model,mode,domain,accuracy,f1_weighted,precision_weighted,recall_weighted,cohen_kappa,n_samples,n_unknown
llama3.2:3b,zero_shot,nyt,0.6217,0.5981,0.645,0.6217,0.4325,497,0
llama3.2:3b,zero_shot,amazon,0.6546,0.6427,0.6641,0.6546,0.4819,498,0
llama3.2:3b,domain_specific,nyt,0.496,0.4725,0.6,0.496,0.2451,494,0
llama3.2:3b,domain_specific,amazon,0.5322,0.5208,0.6355,0.5322,0.2971,466,0
gemma3:4b,zero_shot,nyt,0.6506,0.6373,0.6871,0.6506,0.4759,498,0
gemma3:4b,zero_shot,amazon,0.6104,0.5479,0.6342,0.6104,0.4157,498,0
gemma3:4b,domain_specific,nyt,0.6479,0.6411,0.6753,0.6479,0.4718,497,0
gemma3:4b,domain_specific,amazon,0.6191,0.5776,0.6403,0.6191,0.4295,491,0
phi3:mini,zero_shot,nyt,0.6951,0.6894,0.6904,0.6951,0.5424,492,0
phi3:mini,zero_shot,amazon,0.6559,0.6317,0.6573,0.6559,0.4837,497,0
phi3:mini,domain_specific,nyt,0.6414,0.6417,0.6719,0.6414,0.4628,488,0
phi3:mini,domain_specific,amazon,0.6378,0.6047,0.651,0.6378,0.4571,497,0
